"","rr_id","data","displayed_rr","device"
"53","0da95a8216a24ae28b272f3785c1f881","1374675807057","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"54","0da95a8216a24ae28b272f3785c1f881","1374675810691","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"55","0da95a8216a24ae28b272f3785c1f881","1374675814257","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"56","0da95a8216a24ae28b272f3785c1f881","1374675817357","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"57","0da95a8216a24ae28b272f3785c1f881","1374675819974","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"58","0da95a8216a24ae28b272f3785c1f881","1374675822707","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"59","0da95a8216a24ae28b272f3785c1f881","1374675826407","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"60","0da95a8216a24ae28b272f3785c1f881","1374675829058","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"61","0da95a8216a24ae28b272f3785c1f881","1374675832357","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"62","0da95a8216a24ae28b272f3785c1f881","1374675835607","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"63","0da95a8216a24ae28b272f3785c1f881","1374675838924","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"64","0da95a8216a24ae28b272f3785c1f881","1374675842024","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"65","0da95a8216a24ae28b272f3785c1f881","1374675844857","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"66","0da95a8216a24ae28b272f3785c1f881","1374675847791","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
"67","0da95a8216a24ae28b272f3785c1f881","1374675850441","19","BDD3AE80-F2E6-4391-BF54-B63C0F26C159"
